category,name,price,description,image_url,allergens,additives,available
Empfehlung des Hauses️,Schnitzery Bowl,13.50,Käsemacaroni mit paniertem Hähnchenbrustfilet und einer Auswahl mit hausgemachten Toppings und Soßen.,https://tb-static.uber.com/prod/image-proc/processed_images/63fd848ee627864a20e47d6c1ab6a4b0/58f691da9eaef86b0b51f9b2c483fe63.jpeg,"Erdnüsse, Weizen, Eier, Milch Aditivos: Konservierungsstoff",Konservierungsstoff,true
Empfehlung des Hauses️,Schnitzel'n'Fries,13.50,Pommes mit paniertem Hähnchenbrustfilet und einer Auswahl mit hausgemachten Toppings und Soßen.,https://tb-static.uber.com/prod/image-proc/processed_images/74fd1722a69e39a901bc4c12a3ab9228/58f691da9eaef86b0b51f9b2c483fe63.jpeg,,,true
Empfehlung des Hauses️,Burgery Garlic Pam,13.90,"hausgemachtes Brioche Bun mit paniertem Hähnchenbrustfilet, Eisbergsalat, Parmesankäse und Garlic Sauce",https://tb-static.uber.com/prod/image-proc/processed_images/d81999f95e6cccc3ffde76f27aa52ae1/58f691da9eaef86b0b51f9b2c483fe63.jpeg,,,true
Empfehlung des Hauses️,Schnitzel‘n‘Rice,15.50,Reis mit paniertem Hähnchenbrustfilet und einer Auswahl mit hausgemachten Toppings (Krautsalat oder Rotkohlsalat) und Soßen.,https://tb-static.uber.com/prod/image-proc/processed_images/d3af68415e0682a073ba2bbd829aae90/70aa2a4db7f990373ca9c376323e3dea.jpeg,,,true
Empfehlung des Hauses️,Schnitzery Bestseller Bowl.,15.50,"Käsemacaroni mit paniertem Hähnchenbrustfilet, dazu  Krautsalat, Röstzwiebeln und Garlic'n'Spicy - Soße.",https://tb-static.uber.com/prod/image-proc/processed_images/fa6cc88d7856d49bdd7ea11c831e9d1f/58f691da9eaef86b0b51f9b2c483fe63.jpeg,,,true
Empfehlung des Hauses️,Schnitzery Klassiker Bowl.,15.50,"Käsemacaroni mit paniertem Hähnchenbrustfilet, dazu  Krautsalat, Rotkohlsalat, Garlic'n'Spicy - und Honey Mustard Soße",https://tb-static.uber.com/prod/image-proc/processed_images/9e5068abcfdf101ef1a9ea6f999a93b4/58f691da9eaef86b0b51f9b2c483fe63.jpeg,,,true
Speisen (Halal) ️,Schwrap,9.90,Käsemacaroni mit paniertem Hähnchenbrustfilet und einer Auswahl mit hausgemachten Toppings und Soßen im Wrap.,https://tb-static.uber.com/prod/image-proc/processed_images/2ee36bc01da6e8afd2eea7df3e0ed0ff/58f691da9eaef86b0b51f9b2c483fe63.jpeg,,,true
Speisen (Halal) ️,Maccaroni'n'Cheese,9.90,Käsemacaroni und einer Auswahl mit hausgemachten Toppings und Soßen.,https://tb-static.uber.com/prod/image-proc/processed_images/07e0ae30c1672aa5ce07116e4c280ca4/58f691da9eaef86b0b51f9b2c483fe63.jpeg,"Erdnüsse, Weizen, Eier, Milch Aditivos: Konservierungsstoff",Konservierungsstoff,true
Speisen (Halal) ️,Schnitzel Bowl,12.50,2 panierte Hähnchenbrustfilets und einer Auswahl mit hausgemachten Toppings und Soßen.,https://tb-static.uber.com/prod/image-proc/processed_images/9f2818ab43490049d898a2c3f1df17fc/58f691da9eaef86b0b51f9b2c483fe63.jpeg,"Erdnüsse, Weizen, Eier, Milch Aditivos: Konservierungsstoff",Konservierungsstoff,true
Speisen (Halal) ️,Schnitzery Bowl,13.50,Käsemacaroni mit paniertem Hähnchenbrustfilet und einer Auswahl mit hausgemachten Toppings und Soßen.,https://tb-static.uber.com/prod/image-proc/processed_images/63fd848ee627864a20e47d6c1ab6a4b0/58f691da9eaef86b0b51f9b2c483fe63.jpeg,"Erdnüsse, Weizen, Eier, Milch Aditivos: Konservierungsstoff",Konservierungsstoff,true
Speisen (Halal) ️,Schnitzel'n'Fries,13.50,Pommes mit paniertem Hähnchenbrustfilet und einer Auswahl mit hausgemachten Toppings und Soßen.,https://tb-static.uber.com/prod/image-proc/processed_images/74fd1722a69e39a901bc4c12a3ab9228/58f691da9eaef86b0b51f9b2c483fe63.jpeg,,,true
Speisen (Halal) ️,Schnitzel‘n‘Rice,15.50,Reis mit paniertem Hähnchenbrustfilet und einer Auswahl mit hausgemachten Toppings (Krautsalat oder Rotkohlsalat) und Soßen.,https://tb-static.uber.com/prod/image-proc/processed_images/d3af68415e0682a073ba2bbd829aae90/70aa2a4db7f990373ca9c376323e3dea.jpeg,,,true
Speisen (Halal) ️,Schnitzery Spicy Bowl,16.50,"Käsemacaroni mit paniertem Hähnchenbrustfilet, dazu  Krautsalat, Röstzwiebeln, Jalapenos, Garlic'n'Spicy - und Hot'n'Spicy Soße.",https://tb-static.uber.com/prod/image-proc/processed_images/12757a80d78dc143fd4ab82545782011/58f691da9eaef86b0b51f9b2c483fe63.jpeg,,,true
Speisen (Halal) ️,Schnitzery Bowl XL,18.50,Käsemacaroni mit paniertem Hähnchenbrustfilet und einer Auswahl mit hausgemachten Toppings und Soßen.,https://tb-static.uber.com/prod/image-proc/processed_images/63fd848ee627864a20e47d6c1ab6a4b0/58f691da9eaef86b0b51f9b2c483fe63.jpeg,"Erdnüsse, Weizen, Eier, Milch Aditivos: Konservierungsstoff",Konservierungsstoff,true
Speisen (Halal) ️,Schnitzel'n'Fries XL,18.50,No description,https://tb-static.uber.com/prod/image-proc/processed_images/74fd1722a69e39a901bc4c12a3ab9228/58f691da9eaef86b0b51f9b2c483fe63.jpeg,,,true
Speisen (Halal) ️,Schnitzery Klassiker Bowl XL,20.50,"Käsemacaroni mit paniertem Hähnchenbrustfilet, dazu  Krautsalat, Rotkohlsalat, Garlic'n'Spicy - und Honey Mustard Soße",https://tb-static.uber.com/prod/image-proc/processed_images/9e5068abcfdf101ef1a9ea6f999a93b4/58f691da9eaef86b0b51f9b2c483fe63.jpeg,,,true
Speisen (Halal) ️,Schnitzery Bestseller Bowl XL,20.50,"Käsemacaroni mit paniertem Hähnchenbrustfilet, dazu  Krautsalat, Röstzwiebeln und Garlic'n'Spicy - Soße.",https://tb-static.uber.com/prod/image-proc/processed_images/fa6cc88d7856d49bdd7ea11c831e9d1f/58f691da9eaef86b0b51f9b2c483fe63.jpeg,,,true
Speisen (Halal) ️,Schnitzery Bestseller Bowl.,15.50,"Käsemacaroni mit paniertem Hähnchenbrustfilet, dazu  Krautsalat, Röstzwiebeln und Garlic'n'Spicy - Soße.",https://tb-static.uber.com/prod/image-proc/processed_images/fa6cc88d7856d49bdd7ea11c831e9d1f/58f691da9eaef86b0b51f9b2c483fe63.jpeg,,,true
Speisen (Halal) ️,Schnitzery Klassiker Bowl.,15.50,"Käsemacaroni mit paniertem Hähnchenbrustfilet, dazu  Krautsalat, Rotkohlsalat, Garlic'n'Spicy - und Honey Mustard Soße",https://tb-static.uber.com/prod/image-proc/processed_images/9e5068abcfdf101ef1a9ea6f999a93b4/58f691da9eaef86b0b51f9b2c483fe63.jpeg,,,true
Burger,Burgery Bestseller,13.90,"Hausgemachtes Brioche Bun mit paniertem Hähnchenbrustfilet, Krautsalat, Eisbergsalat, Röstzwiebeln mit Garlic’n’Spicy Sauce",https://tb-static.uber.com/prod/image-proc/processed_images/293d53fe62449f7dd76fdf3178441645/58f691da9eaef86b0b51f9b2c483fe63.jpeg,,,true
Burger,Burgery Spicy,13.90,"hausgemachtes Brioche Bun mit paniertem Hähnchenbrustfilet, Krautsalat, Eisbergsalat, Röstzwiebeln, Jalapeños und mit Garlic & Hot’n’Spicy Sauce",https://tb-static.uber.com/prod/image-proc/processed_images/6748e67041db33190f1477f6f032b878/58f691da9eaef86b0b51f9b2c483fe63.jpeg,,,true
Burger,Burgery Garlic Pam,13.90,"hausgemachtes Brioche Bun mit paniertem Hähnchenbrustfilet, Eisbergsalat, Parmesankäse und Garlic Sauce",https://tb-static.uber.com/prod/image-proc/processed_images/d81999f95e6cccc3ffde76f27aa52ae1/58f691da9eaef86b0b51f9b2c483fe63.jpeg,,,true
Plant-Based,Plant-Based Schwrap,11.90,Maccaroni'n'Cheese mit paniertem Plant-Based Schnitzel und einer Auswahl mit hausgemachten Toppings und Soßen im Wrap.,https://tb-static.uber.com/prod/image-proc/processed_images/e1f7d00fbd8535ebad41d4e653240556/70aa2a4db7f990373ca9c376323e3dea.jpeg,"Weizen, Sojabohnen, Milch Aditivos: mit Konservierungsstoff",mit Konservierungsstoff,true
Plant-Based,Plant-Based Schnitzel Bowl,14.50,2 Panierte Plant-Based Schnitzel und eine Auswahl mit hausgemachten Toppings und Soßen.,https://tb-static.uber.com/prod/image-proc/processed_images/1125d33c11cad9561edde169aa6c8152/70aa2a4db7f990373ca9c376323e3dea.jpeg,"Weizen, Sojabohnen, Milch Aditivos: mit Konservierungsstoff",mit Konservierungsstoff,true
Plant-Based,Plant-Based Garlic Pam Burgery,15.90,"Leckeres hausgemachtes Brioche Bun mit paniertem Plant-Based Schnitzel, Eisbergsalat, Garlic Soße und Parmesan.",https://tb-static.uber.com/prod/image-proc/processed_images/e663d06d8f0fa2fef68e2d2eccae9697/70aa2a4db7f990373ca9c376323e3dea.jpeg,"Weizen, Sojabohnen, Milch, Sesamsamen Aditivos: mit Konservierungsstoff, mit Antioxidationsmittel, mit Geschmacksverstärkern, mit Süßungsmittel(n)","mit Konservierungsstoff, mit Antioxidationsmittel, mit Geschmacksverstärkern, mit Süßungsmittel(n)",true
Plant-Based,Plant-Based Spicy Burgery,15.90,"Leckeres hausgemachtes Brioche Bun mit paniertem Plant-Based Schnitzel, Eisbergsalat, Krautsalat, Röstzwiebeln, Jalapeños, Garlic und Hot’n’Spicy Soße.",https://tb-static.uber.com/prod/image-proc/processed_images/d45dc708fd6971317f813c3c34320956/70aa2a4db7f990373ca9c376323e3dea.jpeg,"Weizen, Sojabohnen, Milch, Sesamsamen Aditivos: mit Konservierungsstoff, mit Antioxidationsmittel, mit Geschmacksverstärkern, mit Süßungsmittel(n)","mit Konservierungsstoff, mit Antioxidationsmittel, mit Geschmacksverstärkern, mit Süßungsmittel(n)",true
Plant-Based,Plant-Based Bestseller Burgery,15.90,"Leckeres hausgemachtes Brioche Bun mit paniertem Plant-Based Schnitzel, Eisbergsalat, Krautsalat, Röstzwiebeln und Garlic’n’Spicy Soße.",https://tb-static.uber.com/prod/image-proc/processed_images/e52cccc26ba6626d7e2aece442166cfe/70aa2a4db7f990373ca9c376323e3dea.jpeg,"Weizen, Sojabohnen, Milch, Sesamsamen Aditivos: mit Konservierungsstoff, mit Antioxidationsmittel, mit Geschmacksverstärkern, mit Süßungsmittel(n)","mit Konservierungsstoff, mit Antioxidationsmittel, mit Geschmacksverstärkern, mit Süßungsmittel(n)",true
Plant-Based,Plant-Based Schnitzery,15.50,Maccaroni'n'Cheese mit paniertem Plant-Based Schnitzel und einer Auswahl mit hausgemachten Toppings und Soßen.,https://tb-static.uber.com/prod/image-proc/processed_images/e124013db23e7804a45bcfabaec1d961/70aa2a4db7f990373ca9c376323e3dea.jpeg,"Weizen, Sojabohnen, Milch Aditivos: mit Konservierungsstoff",mit Konservierungsstoff,true
Plant-Based,Plant-Based Schnitzel'n'Fries,15.50,"Pommes mit paniertem Plant-Based Schnitzel, einer Auswahl mit hausgemachten Toppings und Soßen.",https://tb-static.uber.com/prod/image-proc/processed_images/36ad2657f0fa0bcb71217e37d75bb87c/70aa2a4db7f990373ca9c376323e3dea.jpeg,"Weizen, Sojabohnen, Milch Aditivos: mit Konservierungsstoff",mit Konservierungsstoff,true
Plant-Based,Plant-Based Schnitzery Bestseller,17.50,"Maccaroni'n'Cheese mit paniertem Plant-Based Schnitzel, dazu Krautsalat, Röstzwiebeln und Garlic'n'Spicy Soße.",https://tb-static.uber.com/prod/image-proc/processed_images/6b12afa4729abb8a96a83f711face93e/70aa2a4db7f990373ca9c376323e3dea.jpeg,"Weizen, Sojabohnen, Milch, Sesamsamen Aditivos: mit Konservierungsstoff, mit Antioxidationsmittel, mit Geschmacksverstärkern, mit Süßungsmittel(n)","mit Konservierungsstoff, mit Antioxidationsmittel, mit Geschmacksverstärkern, mit Süßungsmittel(n)",true
Plant-Based,Plant-Based Schnitzery Classic,17.50,"Maccaroni'n'Cheese mit paniertem Plant-Based Schnitzel, dazu  Krautsalat, Rotkohlsalat, Garlic'n'Spicy - und Honey Mustard Soße.",https://tb-static.uber.com/prod/image-proc/processed_images/468171ae75d9507dfede8ff2502e9294/70aa2a4db7f990373ca9c376323e3dea.jpeg,"Weizen, Sojabohnen, Milch, Sesamsamen, Senf, Sellerie Aditivos: mit Konservierungsstoff, mit Antioxidationsmittel, mit Geschmacksverstärkern, mit Süßungsmittel(n)","mit Konservierungsstoff, mit Antioxidationsmittel, mit Geschmacksverstärkern, mit Süßungsmittel(n)",true
Plant-Based,Plant-Based Schnitzel‘n‘Rice,18.00,"Reis und Plant-Based Schnitzel, dazu eine Auswahl mit hausgemachten Toppings und Soßen.",https://tb-static.uber.com/prod/image-proc/processed_images/d3af68415e0682a073ba2bbd829aae90/70aa2a4db7f990373ca9c376323e3dea.jpeg,"Weizen, Sojabohnen, Milch Aditivos: mit Konservierungsstoff",mit Konservierungsstoff,true
Plant-Based,Plant-Based Schnitzery Spicy,18.50,"Maccaroni'n'Cheese mit paniertem Plant-Based Schnitzel, dazu  Krautsalat, Röstzwiebeln, Jalapenos, Garlic'n'Spicy - und Hot'n'Spicy Soße.",https://tb-static.uber.com/prod/image-proc/processed_images/7d4ae8fbc64cc27ddc03be542292e30c/70aa2a4db7f990373ca9c376323e3dea.jpeg,"Weizen, Sojabohnen, Milch, Sesamsamen Aditivos: mit Konservierungsstoff, mit Antioxidationsmittel, mit Geschmacksverstärkern, mit Süßungsmittel(n)","mit Konservierungsstoff, mit Antioxidationsmittel, mit Geschmacksverstärkern, mit Süßungsmittel(n)",true
Beilagen,Fries,5.90,No description,https://tb-static.uber.com/prod/image-proc/processed_images/62ebeaff43921c22156abfd6d0e11c30/58f691da9eaef86b0b51f9b2c483fe63.jpeg,,,true
Beilagen,Cheesy Fries,6.90,No description,https://tb-static.uber.com/prod/image-proc/processed_images/588944d91d76b852ec9214d14c9291dd/58f691da9eaef86b0b51f9b2c483fe63.jpeg,,,true
Beilagen,Garlic Parmesan Fries,8.50,Pommes mit Toppings von Garlic und Parmesan,https://tb-static.uber.com/prod/image-proc/processed_images/3d63320c0138bd604f8f8f1e4615675d/58f691da9eaef86b0b51f9b2c483fe63.jpeg,Milch,,true
Beilagen,Jalapeños,3.00,No description,https://tb-static.uber.com/prod/image-proc/processed_images/0fc813218d5aa7f43d79ef1b18fb4d39/70aa2a4db7f990373ca9c376323e3dea.jpeg,,,true
Beilagen,Mais,3.00,"Frischer Mais als Beilage, perfekt für einen knackigen Genuss.",https://tb-static.uber.com/prod/image-proc/processed_images/1a9e3640bb5d1627d528fee3509ef977/70aa2a4db7f990373ca9c376323e3dea.jpeg,,,true
Beilagen,Röstzwiebeln,3.00,"Knusprige Zwiebeln, perfekt als Beilage zu Ihrem Lieblingsgericht.",https://tb-static.uber.com/prod/image-proc/processed_images/ddf493f16229430a54fd9041f9b2acaa/70aa2a4db7f990373ca9c376323e3dea.jpeg,,,true
Beilagen,Mini Peperoni,3.00,No description,https://tb-static.uber.com/prod/image-proc/processed_images/d92b85181b1ad82636fbacf1c1f98925/70aa2a4db7f990373ca9c376323e3dea.jpeg,,,true
Beilagen,Cornichons,3.00,No description,https://tb-static.uber.com/prod/image-proc/processed_images/4caf10bda125d6d940191598a0f091b2/70aa2a4db7f990373ca9c376323e3dea.jpeg,,,true
Beilagen,Rotkohlsalat,4.00,No description,https://tb-static.uber.com/prod/image-proc/processed_images/06ba53841a397608baefdc7fde352f96/0fb376d1da56c05644450062d25c5c84.jpeg,,,true
Beilagen,Krautsalat,4.00,No description,https://tb-static.uber.com/prod/image-proc/processed_images/efe627150491b5d9d6c409d35a5c0bda/58f691da9eaef86b0b51f9b2c483fe63.jpeg,,,true
Beilagen,Fries XL,7.90,No description,https://tb-static.uber.com/prod/image-proc/processed_images/62ebeaff43921c22156abfd6d0e11c30/58f691da9eaef86b0b51f9b2c483fe63.jpeg,,,true
Beilagen,Cheesy Fries XL,8.90,No description,https://tb-static.uber.com/prod/image-proc/processed_images/588944d91d76b852ec9214d14c9291dd/58f691da9eaef86b0b51f9b2c483fe63.jpeg,,,true
Beilagen,Garlic Parmesan Fries XL,10.50,Pommes mit Toppings von Garlic und Parmesan,https://tb-static.uber.com/prod/image-proc/processed_images/3d63320c0138bd604f8f8f1e4615675d/58f691da9eaef86b0b51f9b2c483fe63.jpeg,Milch,,true
Desserts,Nutella Cheesecake,6.90,Hausgemachter Cheesecake mit Schokosoße.,https://tb-static.uber.com/prod/image-proc/processed_images/f07cff335e3ba6a95f9e9217f9f7fa75/0fb376d1da56c05644450062d25c5c84.jpeg,,,true
Desserts,Strawberry Cheesecake,6.90,Hausgemachter Cheesecake mit Erdbeersoße.,https://tb-static.uber.com/prod/image-proc/processed_images/d2aca24399e29f8b5addd870cab33760/0fb376d1da56c05644450062d25c5c84.jpeg,,,true
Desserts,Lotus Cheesecake,6.90,Hausgemachter Cheesecake mit Spekulatius.,https://tb-static.uber.com/prod/image-proc/processed_images/567f1dcb24bae182cf96c08b87d40daa/5143f1e218c67c20fe5a4cd33d90b07b.jpeg,,,true
Saucen️,Honey Mustard,2.00,No description,https://tb-static.uber.com/prod/image-proc/processed_images/5083ce1db0319c22587c339d23d4f08b/58f691da9eaef86b0b51f9b2c483fe63.jpeg,,,true
Saucen️,Mango Curry,2.00,No description,https://tb-static.uber.com/prod/image-proc/processed_images/8a02ded1b2ea5d3d0f9fc1d2d7544e78/0fb376d1da56c05644450062d25c5c84.jpeg,,,true
Saucen️,Garlic Sauce,2.00,No description,https://tb-static.uber.com/prod/image-proc/processed_images/97ec44e563a72c460b79b4f6e41d4865/58f691da9eaef86b0b51f9b2c483fe63.jpeg,"Sesamsamen Aditivos: Geschmacksverstärker, Antioxidationsmittel, Säuerungsmittel, Konservierungsstoff","Geschmacksverstärker, Antioxidationsmittel, Säuerungsmittel, Konservierungsstoff",true
Saucen️,Garlic'n'Spicy,2.00,No description,https://tb-static.uber.com/prod/image-proc/processed_images/60096b5498873abc20510073cd309256/58f691da9eaef86b0b51f9b2c483fe63.jpeg,"Sesamsamen Aditivos: Geschmacksverstärker, Antioxidationsmittel, Säuerungsmittel, Konservierungsstoff","Geschmacksverstärker, Antioxidationsmittel, Säuerungsmittel, Konservierungsstoff",true
Saucen️,Hot'n'Spicy,2.00,No description,https://tb-static.uber.com/prod/image-proc/processed_images/f9c697d833c0441215125fd6a086fa2b/58f691da9eaef86b0b51f9b2c483fe63.jpeg,"Sesamsamen Aditivos: Geschmacksverstärker, Antioxidationsmittel, Säuerungsmittel, Konservierungsstoff","Geschmacksverstärker, Antioxidationsmittel, Säuerungsmittel, Konservierungsstoff",true
Saucen️,Hausgemachte Käßesoße,4.90,No description,,,,true
Getränke,"Coca-Cola 0,2l",2.90,No description,https://tb-static.uber.com/prod/image-proc/processed_images/628f279ad8ec57f1999e9ff23b18b3ed/0fb376d1da56c05644450062d25c5c84.jpeg,,,true
Getränke,"Coca-Cola Zero 0,2l",2.90,No description,https://tb-static.uber.com/prod/image-proc/processed_images/504ee5d5e98767307f0a4c3e9b1c42d2/0fb376d1da56c05644450062d25c5c84.jpeg,,,true
Getränke,"Elephant Bay Peach 0,33l",3.50,No description,https://tb-static.uber.com/prod/image-proc/processed_images/d101576f3e5eb03328cd751beb650c3e/0fb376d1da56c05644450062d25c5c84.jpeg,,,true
Getränke,"Elephant Bay Lemon 0,33l",3.50,No description,https://tb-static.uber.com/prod/image-proc/processed_images/fec20f5c92f4dbf12285a5c7552d7b50/c67fc65e9b4e16a553eb7574fba090f1.jpeg,,"Farbstoff, Antioxidationsmittel",true
Getränke,"Fanta Orange 0,2l",2.90,No description,,,,true
Getränke,"Mezzo Mix 0,2l",2.90,No description,,,,true
Getränke,"Sprite 0,2l",2.90,No description,,,,true
Getränke,"SpreeQuell Naturell 0,25l",2.90,No description,,,,true
Getränke,"SpreeQuell Classic 0,25l",2.90,No description,,,,true
Getränke,"Elephant Bay Mango 0,33l",3.50,No description,,,,true
Getränke,"Elephant Bay Pome (Granatapfel) 0,33l",3.50,No description,,,,true
Getränke,"Elephant Bay Peach Zero 0,33l",3.50,No description,,,,true
Getränke,"Elephant Bay Lime Mint  0,33l",3.50,No description,,,,true
Getränke,"Elephant Bay Blueberry  0,33l",3.50,No description,,,,true
Getränke,"Elephant Bay Cherry  0,33l",3.50,No description,,,,true
Getränke,"Elephant Bay Watermelon  0,33l",3.50,No description,,,,true
Getränke,"Elephant Bay Passion Fruit 0,33l",3.50,No description,,,,true
Getränke,"Elephant Bay Exotic 0,33l",3.50,No description,,,,true
